suite,variant,rep,ratio,policy,policy_name,written_gib,bw_mib,iops,avg_us,p99_us,slc_migration_cnt,slc_migrate_pages,slc_pages_per_gib,tlc_gc_cnt,tlc_gc_pages,tlc_gc_pages_per_gib,erase_sum,erase_per_gib,erase_max,erase_cv_all,run_dir
policy_repeat,hotcold,1,10,0,Greedy,107.48283386230469,1145.8740234375,293343.952692,156.50465260299998,1548.288,70885.0,18132360.0,168700.05514768252,18391.0,252148.0,2345.93740171593,357104.0,3322.428216374373,38.0,2.4184,results/20260828_153619_slcpolicy0_greedy_ext_hotcold_policy0_greedy_rep1
policy_repeat,hotcold,2,10,0,Greedy,110.40741729736328,1173.23046875,300347.038313,152.522039735,1482.752,72884.0,18098408.0,163923.84174022538,18318.0,257946.0,2336.310424735931,364808.0,3304.1982950969023,39.0,2.4426,results/20260828_155019_slcpolicy0_greedy_ext_hotcold_policy0_greedy_rep2
policy_repeat,hotcold,3,10,0,Greedy,114.9639778137207,1174.435546875,300655.609649,148.523555522,1236.992,75762.0,18918549.0,164560.66813079698,20021.0,92428.0,803.9735729200639,383132.0,3332.626508633855,38.0,2.39,results/20260828_160418_slcpolicy0_greedy_ext_hotcold_policy0_greedy_rep3
policy_repeat,hotcold,1,10,1,Random,102.78659439086914,1071.9580078125,274421.405874,164.93300091100002,1646.592,67286.0,17882017.0,173972.2685236521,17640.0,214273.0,2084.6395511965184,339704.0,3304.944599177974,35.0,2.378,results/20260828_153949_slcpolicy1_random_ext_hotcold_policy1_random_rep1
policy_repeat,hotcold,2,10,1,Random,102.72626876831055,1077.529296875,275847.648607,164.69698128800002,1646.592,67246.0,17876661.0,174022.29453421626,17619.0,212190.0,2065.5865587659437,339460.0,3304.5101712554183,38.0,2.3742,results/20260828_155351_slcpolicy1_random_ext_hotcold_policy1_random_rep2
policy_repeat,hotcold,3,10,1,Random,103.54368209838867,1066.67578125,273069.234716,164.446618575,1662.976,68210.0,17802917.0,171936.29431763318,17793.0,352830.0,3407.5473544077363,344012.0,3322.3852293867135,39.0,2.3747,results/20260828_160752_slcpolicy1_random_ext_hotcold_policy1_random_rep3
policy_repeat,hotcold,1,10,2,FIFO,120.68438720703125,1307.0556640625,334606.26765,138.59261619999998,1122.304,79512.0,16394477.0,135845.88180305093,13218.0,4123.0,34.163491197308645,370920.0,3073.47129636326,26.0,2.5312,results/20260828_154322_slcpolicy2_fifo_ext_hotcold_policy2_fifo_rep1
policy_repeat,hotcold,2,10,2,FIFO,118.59001159667969,1301.6640625,333226.072696,140.405592915,1236.992,78053.0,16557854.0,139622.669540776,13643.0,3779.0,31.866090146379623,366784.0,3092.8743075548305,25.0,2.5106,results/20260828_155723_slcpolicy2_fifo_ext_hotcold_policy2_fifo_rep2
policy_repeat,hotcold,3,10,2,FIFO,117.76180648803711,1316.607421875,337051.544928,140.50642205399998,1236.992,77476.0,16009540.0,135948.4919384821,12250.0,16998.0,144.342215077405,358904.0,3047.711398996409,25.0,2.5516,results/20260828_161126_slcpolicy2_fifo_ext_hotcold_policy2_fifo_rep3
policy_repeat,hotcold,1,10,3,Cost-Benefit,111.7485237121582,1210.904296875,309991.587302,149.675320009,1384.448,73794.0,17409672.0,155793.306449791,16132.0,107461.0,961.6323905700804,359704.0,3218.8702637944943,32.0,2.4544,results/20260828_154651_slcpolicy3_costbenefit_ext_hotcold_policy3_costbenefit_rep1
policy_repeat,hotcold,2,10,3,Cost-Benefit,111.32976150512695,1218.7470703125,311999.454779,149.705001565,1286.144,73508.0,16958011.0,152322.3509215822,15040.0,139817.0,1255.881608922347,354192.0,3181.467338216554,31.0,2.4863,results/20260828_160051_slcpolicy3_costbenefit_ext_hotcold_policy3_costbenefit_rep2
policy_repeat,hotcold,3,10,3,Cost-Benefit,115.42205429077148,1243.9833984375,318459.957268,145.170802694,1368.064,75890.0,17351788.0,150333.38391541134,15843.0,54863.0,475.3251043495467,366932.0,3179.045826680784,33.0,2.4818,results/20260828_161452_slcpolicy3_costbenefit_ext_hotcold_policy3_costbenefit_rep3
policy_repeat,zipf,1,10,0,Greedy,154.0,1427.5517578125,365453.406478,43.453073138,80.384,102955.0,3363062.0,21838.064935064936,0.0,0.0,0.0,411820.0,2674.155844155844,147.0,4.9802,results/20260828_153427_slcpolicy0_greedy_ext_zipf_policy0_greedy_rep1
policy_repeat,zipf,2,10,0,Greedy,154.0,1424.740234375,364733.620035,43.540009854999994,79.36,102961.0,3337117.0,21669.590909090908,0.0,0.0,0.0,411844.0,2674.311688311688,141.0,4.8667,results/20260828_154827_slcpolicy0_greedy_ext_zipf_policy0_greedy_rep2
policy_repeat,zipf,3,10,0,Greedy,154.0,1426.7900390625,365258.321647,43.494734106,80.384,102955.0,3375024.0,21915.74025974026,0.0,0.0,0.0,411820.0,2674.155844155844,145.0,5.0186,results/20260828_160226_slcpolicy0_greedy_ext_zipf_policy0_greedy_rep3
policy_repeat,zipf,1,10,1,Random,154.0,1418.6650390625,363178.322748,43.746375214,80.384,102954.0,3509527.0,22789.136363636364,0.0,0.0,0.0,411816.0,2674.12987012987,70.0,3.1663,results/20260828_153757_slcpolicy1_random_ext_zipf_policy1_random_rep1
policy_repeat,zipf,2,10,1,Random,154.0,1412.84375,361688.073394,43.90090076,80.384,102955.0,3503722.0,22751.44155844156,0.0,0.0,0.0,411820.0,2674.155844155844,65.0,3.1676,results/20260828_155158_slcpolicy1_random_ext_zipf_policy1_random_rep2
policy_repeat,zipf,3,10,1,Random,154.0,1426.931640625,365294.677597,43.500313854,81.408,102960.0,3506459.0,22769.214285714286,0.0,0.0,0.0,411840.0,2674.285714285714,68.0,3.167,results/20260828_160600_slcpolicy1_random_ext_zipf_policy1_random_rep3
policy_repeat,zipf,1,10,2,FIFO,154.0,1413.919921875,361963.72309,43.897224713,80.384,102955.0,2980750.0,19355.51948051948,0.0,0.0,0.0,411820.0,2674.155844155844,46.0,3.1165,results/20260828_154129_slcpolicy2_fifo_ext_zipf_policy2_fifo_rep1
policy_repeat,zipf,2,10,2,FIFO,154.0,1411.30078125,361293.167946,43.971597582,81.408,102958.0,2981248.0,19358.753246753247,0.0,0.0,0.0,411832.0,2674.2337662337663,46.0,3.1165,results/20260828_155530_slcpolicy2_fifo_ext_zipf_policy2_fifo_rep2
policy_repeat,zipf,3,10,2,FIFO,154.0,1410.64453125,361125.10958,43.971832498000005,80.384,102957.0,2980647.0,19354.85064935065,0.0,0.0,0.0,411828.0,2674.2077922077924,46.0,3.1165,results/20260828_160933_slcpolicy2_fifo_ext_zipf_policy2_fifo_rep3
policy_repeat,zipf,1,10,3,Cost-Benefit,154.0,1421.00390625,363777.211084,43.650417737000005,79.36,102958.0,2856873.0,18551.123376623378,0.0,0.0,0.0,411832.0,2674.2337662337663,56.0,3.2154,results/20260828_154459_slcpolicy3_costbenefit_ext_zipf_policy3_costbenefit_rep1
policy_repeat,zipf,2,10,3,Cost-Benefit,154.0,1422.568359375,364177.568492,43.601251547,80.384,102956.0,2854082.0,18533.0,0.0,0.0,0.0,411824.0,2674.181818181818,56.0,3.2128,results/20260828_155858_slcpolicy3_costbenefit_ext_zipf_policy3_costbenefit_rep2
policy_repeat,zipf,3,10,3,Cost-Benefit,154.0,1425.693359375,364977.633125,43.527101351999995,79.36,102961.0,2854367.0,18534.85064935065,0.0,0.0,0.0,411844.0,2674.311688311688,56.0,3.2116,results/20260828_161300_slcpolicy3_costbenefit_ext_zipf_policy3_costbenefit_rep3
ratio_sweep,burst,1,0,0,Greedy,1.0,787.0859375,201494.235204,79.099670551,158.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results/20260828_144933_slcpolicy0_greedy_ext_ratio_r0_burst_rep1
ratio_sweep,burst,2,0,0,Greedy,1.0,848.3837890625,217186.412593,73.39731219900001,136.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results/20260828_145209_slcpolicy0_greedy_ext_ratio_r0_burst_rep2
ratio_sweep,burst,3,0,0,Greedy,1.0,800.625,204960.125098,77.77494485099999,136.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results/20260828_145441_slcpolicy0_greedy_ext_ratio_r0_burst_rep3
ratio_sweep,burst,1,5,0,Greedy,1.0,773.4130859375,197993.957704,80.54586392600001,261.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results/20260828_145713_slcpolicy0_greedy_ext_ratio_r5_burst_rep1
ratio_sweep,burst,2,5,0,Greedy,1.0,823.150390625,210726.688103,75.673126865,136.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results/20260828_150029_slcpolicy0_greedy_ext_ratio_r5_burst_rep2
