timestamp,policy,policy_name,label,workload,nonzero_blocks,erase_sum,erase_max,lat_avg_ns,lat_p99_ns
20260726_220135,0,greedy,pipelinetest,,19520,62176,4,641274.209063,1056768
20260726_220745,1,random,pipelinetest,,106976,192084,6,619501.858487,937984
20260726_221119,2,costbenefit,pipelinetest,,19596,192004,10,632721.438117,978944
20260727_112639,1,random,hotcold1,hotcold,58164,79212,5,135547.136508,257024
20260727_112902,0,greedy,hotcold1,hotcold,18332,208496,105,149843.684773,272384
20260727_112924,2,costbenefit,hotcold1,hotcold,18340,208484,105,158876.219586,296960
20260727_115024,2,costbenefit,hotcold_debug,hotcold,1680,78032,47,140117.306719,288768
20260727_120656,0,greedy,hotcold_v2,hotcold,25856,62064,4,76345.163750,158720
20260727_120723,1,random,hotcold_v2,hotcold,51180,64816,5,85946.624112,179200
20260727_120747,2,costbenefit,hotcold_v2,hotcold,25816,62064,4,91567.855727,195584
20260727_121437,2,costbenefit,hotcold_v2_debug,hotcold,25820,62064,4,74307.795988,173056
20260727_122014,2,costbenefit,hotcold_v3_debug,hotcold,25512,62080,4,89323.465556,207872
20260727_122050,0,greedy,hotcold_v3,hotcold,25396,62080,4,99591.191282,232448
20260727_122440,0,greedy,hotcold_v3_final,hotcold,25260,62084,4,92936.959850,197632
20260727_122513,1,random,hotcold_v3_final,hotcold,52488,67208,5,107119.887428,250880
20260727_122725,2,costbenefit,hotcold_v3_final,hotcold,25272,62084,4,89019.309717,216064
20260729_184907,0,greedy,randwrite6g,uniform,,,,39776.270294,92672
20260729_185748,0,greedy,calibcheck,uniform,2024,271620,161,35840.178038,71168
20260730_131136,0,greedy,final,uniform,2016,271620,161,34557.254035,67072
20260730_131326,0,greedy,final,hotcold,2568,271624,150,37979.798168,78336
20260730_131508,1,random,final,uniform,114804,273384,9,34715.696718,67072
20260730_131639,1,random,final,hotcold,115048,276120,9,38321.086104,78336
20260730_131817,2,costbenefit,final,uniform,2004,271620,161,34794.063666,68096
20260730_131946,2,costbenefit,final,hotcold,2568,271624,153,37965.960000,78336
20260730_141921,0,greedy,final2,hotcold,76760,266012,5,49558.566652,109056
20260730_142153,1,random,final2,hotcold,122596,364636,11,60989.461650,230400
20260730_142429,2,costbenefit,final2,hotcold,76408,266012,5,49697.304049,108032
